pupil_diameter_r_mm-FPC3,eda_hand_l_kOhms-PosCount,gaze_direction_l_y_mm-SD,gaze_direction_l_x_mm-MedAbsDev,pupil_diameter_r_mm-TimeMax,gaze_direction_r_y_mm-SD,gaze_origin_l_y_mm-Skew,ppg_finger_mV-PosCount,pupil_diameter_l_mm-FPC3
-3.049930072,562,0.151570487,0.033149719,313,0.158746269,-1.580348729,562,-4.281603538
-1.2813391379999999,489,0.106185826,0.03616333,467,0.108140196,-1.112838788,486,-3.03709047
-1.48307915,467,0.11976996599999999,0.031669617000000004,451,0.12103159699999999,0.5518601320000001,466,-1.40767828
-2.304292817,511,0.10454715699999999,0.028701782000000002,488,0.104717215,-1.6406545909999999,511,-2.419410552
-1.658043694,485,0.110829731,0.02671814,460,0.113734614,-0.14990192800000002,485,-2.388046871
-2.356353145,499,0.102309615,0.028411865,494,0.102655605,-0.066479149,499,-4.566041149
1.006557225,467,0.15558434599999998,0.034820557,88,0.168545967,1.105836005,467,1.966154334
-1.273296377,493,0.139353341,0.028656006,462,0.15153221,1.829768529,493,-1.1844983709999999
-5.142948795,530,0.10899848300000001,0.039886475,468,0.119902273,0.8609473759999999,529,-4.843115647
-1.7037989269999998,470,0.138584881,0.036300659,438,0.151773834,0.5113207710000001,470,-1.6022169019999999
1.3072444890000001,484,0.13241172,0.027709961,463,0.144749985,0.518339399,484,1.548318186
0.174017069,436,0.17521703,0.031700134,7,0.188047666,-0.068478919,435,0.417395665
1.579559613,429,0.16835239600000002,0.032211303999999996,24,0.16999968399999998,3.1715001989999996,429,1.8348941680000002
-0.497906523,177,0.098038389,0.018173218,176,0.09801359,-0.71983119,177,-1.115311189
0.83950259,476,0.130873095,0.02746582,290,0.131421402,-3.276770631,476,0.147152591
-2.410977821,447,0.114906599,0.016075133999999998,444,0.116199006,4.330922095,447,-1.949490701
-1.79062613,450,0.102872942,0.019744873,363,0.103748164,12.78795784,450,-1.666725988
-0.834814775,440,0.120458602,0.022262572999999997,433,0.120958488,0.015229735,439,-0.806903782
1.8338514209999999,466,0.128478554,0.036224365,12,0.129022039,7.83465991,466,1.8029213640000001
2.410391745,484,0.124804625,0.044952393,101,0.125346448,-1.74660335,484,1.99062848
-1.578385746,534,0.125312927,0.019706726,501,0.128601243,0.066253705,534,-0.898058977
1.125377564,511,0.140876271,0.036903381,326,0.14439247,-0.16823008399999997,511,0.52130838
0.712084855,481,0.111966662,0.019355774,22,0.116170656,-1.276369213,481,-0.261440946
0.09073365900000001,476,0.14008305599999998,0.039428711,196,0.142278871,-2.645870308,476,-1.224708033
0.662178936,430,0.126265027,0.03793335,183,0.117256131,0.639294855,430,2.083174182
-0.584216924,476,0.09292623900000001,0.030761719,413,0.086847038,-0.585666884,475,0.260884913
2.201880756,440,0.11342988300000001,0.023025512999999997,203,0.106696254,0.863434017,440,3.0799151210000004
0.5572060560000001,450,0.09051577599999999,0.027694702,249,0.085845407,0.477316433,450,0.322845505
0.938532425,444,0.083585308,0.026473998999999998,303,0.078691679,0.472098595,444,1.493415972
0.337501555,435,0.075819647,0.023071289,319,0.073878002,0.045728428,435,0.457797205
3.405300187,420,0.11596938,0.021995544,197,0.110095482,0.33879323899999997,420,6.066966395
-0.763139786,502,0.10733057800000001,0.035148621,337,0.102049211,0.502152676,502,-1.742825716
-1.173018327,468,0.08698874599999999,0.028572082999999998,370,0.082534076,0.512232044,467,-1.4065469590000002
0.012812848,450,0.08768984699999999,0.032196045,270,0.082268436,0.350602378,450,-0.011231935
-0.45222025,432,0.090245324,0.027435302999999998,352,0.082562455,0.452729366,432,-0.858590579
1.6199877219999999,409,0.098926005,0.026748657000000002,181,0.092536947,0.160659214,409,2.9508347919999998
-4.462699853999999,576,0.10666659,0.031860352,383,0.109538364,1.9393298980000002,576,-4.156511176
0.773678665,475,0.082271655,0.022705077999999997,395,0.084813221,-0.47943834399999996,475,0.489948475
4.693482349,464,0.08741928800000001,0.028831482000000002,294,0.091981134,-1.6120443880000002,464,3.35085601
-1.6186534019999999,463,0.08741967,0.014602661000000001,384,0.08289809599999999,-0.797530546,463,-2.108263095
4.265568806,418,0.08428024199999999,0.021087646,301,0.085570896,-0.801941714,418,3.7096909289999997
-1.283606,399,0.10219022400000001,0.020553589,336,0.098039446,-1.909944389,399,-0.01167899
5.544389291,459,0.113990825,0.028274536,126,0.105116819,-0.677323063,459,6.540454099
4.201967318,453,0.118734768,0.028625487999999998,351,0.10944297300000001,-1.420977744,453,3.841210611
-0.017495573,466,0.08358326599999999,0.017524718999999998,129,0.076312255,-1.233654504,466,-0.10990609900000001
2.484479618,497,0.086558465,0.029449463,376,0.088879148,0.556332756,497,2.8263484780000003
0.445014311,402,0.11032437699999999,0.026420593,354,0.103812716,0.8329866709999999,402,1.722133935
4.789551372,381,0.11713284300000001,0.043556212999999996,250,0.118043834,6.169622249,378,5.622373675
-5.205491542,599,0.141328734,0.032157898,538,0.138152312,-0.262895234,599,-3.099758867
2.947947955,497,0.088354951,0.023773192999999998,453,0.086109707,0.38051998600000003,497,2.53104414
0.707356372,477,0.12391626300000001,0.023590088,431,0.11910074699999999,0.450184514,477,0.217131532
0.011127078,411,0.106217885,0.016586304,399,0.105230356,-0.37758771,411,-0.09517649
-1.788863207,478,0.11505109,0.015411376999999999,428,0.113877829,0.003087726,477,-1.1238972729999999
-0.96706361,399,0.102954827,0.015563965,391,0.102973593,-3.341825594,399,-0.450781286
1.8065021769999998,487,0.135539642,0.025268555,459,0.129776921,-0.849735127,487,0.260406132
-3.67232256,388,0.11162873,0.019248961999999998,403,0.10376052599999999,0.512231781,388,-4.974806726000001
-2.263292296,362,0.092621397,0.01739502,356,0.09485328400000001,-1.463658095,362,-4.329451326
-1.6686511830000001,474,0.119300031,0.028442382999999998,447,0.114454763,-1.133492755,474,-3.0481202730000003
-2.664030329,441,0.112298718,0.023513793999999998,401,0.110805868,-1.193561371,441,-4.556766264
0.024210156,442,0.117352317,0.024719237999999998,436,0.120110836,-1.609490614,442,-0.254192165
0.373590011,455,0.119054375,0.022094727,297,0.12059369699999999,0.027664682000000003,455,-0.8557306720000001
-1.6059359430000002,484,0.117105145,0.023475647000000002,418,0.11578455800000001,-0.276915075,483,-1.000400242
-2.266732234,452,0.11586327,0.037155151000000004,401,0.117212281,-0.030245582000000003,452,-2.391123438
-2.611651188,458,0.111992861,0.02771759,439,0.112649636,-0.716877628,457,-2.628664074
-2.8179266569999997,468,0.11151283699999999,0.033599854,391,0.11544906,0.24751758699999998,466,-2.122042116
-2.7515850260000003,448,0.111973655,0.026855469,427,0.113714534,0.132713574,448,-2.6333379409999997
1.1581726209999998,413,0.116177776,0.048553467,17,0.117315395,-0.23680579699999998,413,0.548729171
-0.635379193,443,0.116402024,0.03024292,107,0.118102539,-0.012761418,443,-0.7178910059999999
-2.431748893,443,0.110691605,0.025680542,406,0.114582764,0.177059585,442,-2.238155987
-1.231539253,467,0.116065519,0.029823303,443,0.118573198,0.037498558,466,-1.885468395
-1.702617825,452,0.10295884400000001,0.026016235,439,0.105478211,-0.260307345,452,-1.619176833
-0.670614692,419,0.12870894900000002,0.029876708999999998,335,0.131056712,2.606090961,419,-0.21057218600000002
3.018247522,475,0.16426496,0.051437378,33,0.15354610300000002,-0.105011274,475,1.643503915
-0.085242026,480,0.1007198,0.023468017999999997,400,0.09821156800000001,-0.7884995840000001,480,-1.422114469
1.48325905,480,0.110701786,0.031669617000000004,361,0.108427256,0.09178123,480,1.613049351
-0.49041406,471,0.104003865,0.034255981,390,0.10178123,0.319710708,471,-1.262295484
3.473486898,432,0.14206835,0.0366745,49,0.14016389699999998,0.285917745,432,4.4834792210000005
0.559691694,465,0.115494233,0.029052734,343,0.112676836,0.520576693,465,-0.29625774
-3.1667217510000003,462,0.099718279,0.022384644,398,0.097849928,0.130480475,462,-2.796147458
1.978216657,465,0.12225017,0.042755127000000004,320,0.120667354,2.013944925,465,1.882321753
0.883588715,485,0.124277419,0.035049437999999995,385,0.12071060800000001,-0.022003991,485,1.0503837440000001
2.744736089,430,0.149849653,0.04637146,201,0.144259568,0.235079514,429,3.196666483
