Subject,Date,Run,Difficulty,GlideSlope_Error,Localizer_Error,Airspeed_Error,Cumulative_Error
20,20210604,11,3,2686.8405,754.4832,1794.2933,5235.617
20,20210604,12,1,1450.4299,216.6407,4262.0481,5929.1188
22,20210621,1,1,1736.9249,615.1176,1348.5615,3700.604
22,20210621,2,3,1066.2568,1874.0538,1713.5661,4653.8768
22,20210621,3,2,386.9891,1302.7853,685.1616,2374.936
22,20210621,4,4,1302.3887,2241.5336,1827.1121,5371.0344
22,20210621,5,3,1388.2619,704.6031,1422.8882,3515.7532
22,20210621,6,4,1162.1016,1246.0737,1404.6522,3812.8275
22,20210621,7,1,222.249,225.8391,568.3388,1016.4268
22,20210621,8,2,912.0298,960.6408,1884.1267,3756.7973
22,20210621,9,4,853.9938,1305.3292,1424.0494,3583.3725
22,20210621,10,2,634.6695,800.3043,1261.7509,2696.7247
22,20210621,11,3,759.8728,629.3149,1671.3792,3060.5669
22,20210621,12,1,324.3618,341.694,882.5306,1548.5864
23,20210628,1,1,3449.342,421.4704,824.3803,4695.1927
23,20210628,2,3,1063.5824,686.9251,710.436,2460.9435
23,20210628,3,2,1111.5625,1057.7527,1337.6757,3506.9909
23,20210628,4,4,3006.3787,1334.31,1901.4265,6242.1152
23,20210628,5,3,1251.9058,2311.8988,2087.2568,5651.0614
23,20210628,6,4,2235.5433,1921.971,1978.5879,6136.1022
23,20210628,7,1,1711.7774,1094.6603,944.1258,3750.5636
23,20210628,8,2,1075.1036,2764.604,464.8578,4304.5653
23,20210628,9,4,3206.5242,2896.4634,1891.335,7994.3226
23,20210628,10,2,417.453,4605.4882,536.6833,5559.6246
23,20210628,11,3,2199.5406,688.4112,2409.0582,5297.0101
23,20210628,12,1,1683.5861,1903.0514,1798.1147,5384.7522
24,20210629,1,1,1833.4721,5311.3998,1222.1162,8366.9881
24,20210629,2,3,6577.6873,4006.382,2107.2477,12691.3171
24,20210629,3,2,2154.943,1835.2268,306.6326,4296.8024
24,20210629,4,4,4541.0669,3281.7615,1647.19,9470.0184
24,20210629,5,3,2381.6276,2769.6683,503.2544,5654.5502
24,20210629,6,4,2780.8591,1315.9497,739.1916,4836.0004
24,20210629,7,1,3417.0399,1797.832,1568.8029,6783.6748
24,20210629,8,2,3889.0035,1660.4132,2255.6408,7805.0575
24,20210629,9,4,1902.7494,1939.0935,2547.0784,6388.9214
24,20210629,10,2,721.5262,1535.9944,1318.7208,3576.2414
24,20210629,11,3,2981.279,2776.124,2110.7425,7868.1454
24,20210629,12,1,765.878,771.9673,790.1357,2327.9809
26,20210716,1,1,211.7189,129.0321,1238.0123,1578.7633
26,20210716,2,3,781.8808,504.8488,1142.4344,2429.164
26,20210716,3,2,388.2169,448.5304,1114.9651,1951.7123
26,20210716,4,4,951.9862,883.1773,1068.4049,2903.5684
26,20210716,5,3,396.0265,556.6048,921.886,1874.5174
26,20210716,6,4,616.2558,550.4014,919.3518,2086.009
26,20210716,7,1,293.9054,327.299,691.1905,1312.395
26,20210716,8,2,184.8823,434.2798,429.4362,1048.5983
26,20210716,9,4,543.2165,907.0652,1155.2791,2605.5608
26,20210716,10,2,549.2251,376.8615,1339.5649,2265.6514
26,20210716,11,3,376.0362,319.3743,848.2235,1543.6341
26,20210716,12,1,385.5683,294.8146,870.4429,1550.8259
27,20210722,1,1,760.716,386.7327,1171.8495,2319.2982
27,20210722,2,3,400.8151,664.8492,1192.3748,2258.039
27,20210722,3,2,283.7038,534.5117,1318.7025,2136.918
27,20210722,4,4,769.6897,1140.0232,933.3074,2843.0202
27,20210722,5,3,592.8845,884.4777,1540.5516,3017.9139
27,20210722,6,4,812.4346,1006.8081,745.2182,2564.461
27,20210722,7,1,894.4308,204.1303,1017.5707,2116.1319
27,20210722,8,2,525.6718,464.8409,1274.2105,2264.7233
27,20210722,9,4,622.7993,670.7377,782.2722,2075.8091
27,20210722,10,2,441.787,296.8463,1160.1695,1898.8028
27,20210722,11,3,545.9758,440.4261,1269.8139,2256.2157
27,20210722,12,1,391.7245,95.7593,645.4036,1132.8875
